Movie_Name,Star_Distribution
桃色公寓 The Apartment,"[46.5, 44.0, 8.9, 0.5, 0.1]"
梦 夢,"[46.6, 39.4, 12.3, 1.3, 0.3]"
梦之安魂曲 Requiem for a Dream,"[51.7, 36.0, 10.5, 1.3, 0.5]"
梦旅人 PicNic,"[39.6, 40.2, 17.3, 2.2, 0.6]"
楚门的世界 The Truman Show,"[67.3, 28.0, 4.3, 0.2, 0.1]"
楢山节考 楢山節考,"[56.2, 35.1, 7.9, 0.6, 0.3]"
模仿游戏 The Imitation Game,"[44.5, 43.6, 11.1, 0.6, 0.1]"
歌剧魅影 The Phantom of the Opera,"[41.6, 42.2, 14.7, 1.3, 0.2]"
步履不停 歩いても 歩いても,"[50.1, 41.0, 8.2, 0.5, 0.2]"
死亡医生 You Don't Know Jack,"[41.1, 45.9, 12.2, 0.6, 0.2]"
死亡诗社 Dead Poets Society,"[61.1, 31.2, 7.0, 0.6, 0.2]"
比海更深 海よりもまだ深く,"[46.6, 44.0, 8.7, 0.5, 0.1]"
水牛城66 Buffalo '66,"[42.7, 41.7, 13.4, 1.8, 0.5]"
